 1726291 2M19300513+3717470 4817.5  79.8 -0.341 0.037  0.189 0.016 149.522 0.009 12.89  0.004 RGB      1.0216 0.0006 0.972 0.04  0.032  4.678 0.015 0.011 3.086 0.005 0.007 1.339E-02 0.008 0.007 3.977  0.073  -0.069 0.309 0.077
 1864183 2M19215572+3722208 4590.8  65.6  0.2   0.025  0.008 0.01   54.094 0.009  5.517 0.004 RGB      1.036  0.0009 1.206 0.038 0.04   8.77  0.014 0.015 2.633 0.005 0.007 2.522E-03 0.008 0.007 3.808  0.061  -0.057 0.24  0.07
 1864855 2M19223280+3720441 4895.2  79.3  0.002 0.033 -0.003 0.012 125.044 0.009 10.446 0.004 RGB      1.0226 0.0003 1.345 0.04  0.034  5.993 0.015 0.012 3.011 0.005 0.007 8.810E-03 0.008 0.007 3.567  0.061  -0.061 0.307 0.076
 1865262 2M19225594+3722386 4761.8  94.  -0.254 0.033  0.085 0.018  53.084 0.011  5.586 0.004 RGB      1.0349 0.0003 1.15  0.046 0.04   8.566 0.017 0.015 2.633 0.006 0.007 2.580E-03 0.008 0.007 3.738  0.073  -0.069 0.392 0.093
 1865595 2M19231500+3723566 4359.9  62.8 -0.073 0.025  0.034 0.014  12.316 0.01   1.804 0.007 RGB      1.044  0.0004 1.119 0.046 0.044 17.928 0.019 0.016 1.98  0.005 0.007 2.739E-04 0.014 0.008 3.846  0.075  -0.07  0.341 0.074
 1865747 2M19232346+3722342 4756.   72.8  0.041 0.03  -0.008 0.012  63.214 0.009  6.121 0.004 RGB      1.0319 0.0004 1.361 0.039 0.039  8.542 0.014 0.014 2.709 0.005 0.007 3.080E-03 0.008 0.007 3.584  0.063  -0.06  0.277 0.073
 1867706 2M19251940+3718402 4847.1  76.6  0.177 0.029 -0.008 0.011 105.091 0.009  8.75  0.004 RGB      1.024  0.0003 1.589 0.039 0.036  7.123 0.014 0.013 2.934 0.005 0.007 6.199E-03 0.008 0.007 3.371  0.064  -0.06  0.625 0.075
 1868101 2M19253987+3722022 4608.7  66.1  0.322 0.023  0.005 0.009  31.807 0.015  3.816 0.015 RC       1.0092 0.0113 1.197 0.091 0.078 11.379 0.041 0.023 2.404 0.007 0.01  1.145E-03 0.038 0.008 3.681  0.091  -0.107 0.769 0.072
 1870196 2M19273132+3720509 4878.1  83.3  0.027 0.032  0.019 0.012 189.075 0.013 14.99  0.015 RGB      1.0186 0.0002 1.108 0.075 0.029  4.427 0.033 0.01  3.19  0.007 0.007 1.800E-02 0.029 0.006 3.89   0.123  -0.113 0.328 0.08
 1870433 2M19274155+3720066 5025.7  98.3  0.027 0.034 -0.002 0.013 221.396 0.009 16.15  0.006 RGB      1.0169 0.0001 1.39  0.046 0.028  4.549 0.017 0.009 3.265 0.006 0.007 2.082E-02 0.011 0.006 3.539  0.076  -0.071 0.367 0.09
 1871314 2M19282389+3723239 4552.7  75.8  0.353 0.022  0.033 0.01   58.402 0.009  5.696 0.004 RGB      1.0345 0.0007 1.327 0.04  0.04   8.87  0.015 0.015 2.665 0.005 0.007 2.681E-03 0.008 0.007 3.701  0.06   -0.059 0.41  0.082
 1871927 2M19285600+3723192 4650.7  75.4  0.199 0.025  0.02  0.011  65.807 0.009  6.437 0.004 RGB      1.0347 0.0003 1.201 0.04  0.039  7.906 0.015 0.014 2.721 0.005 0.007 3.425E-03 0.009 0.007 3.815  0.065  -0.061 0.422 0.078
 1872166 2M19290894+3719028 4984.3  83.4  0.086 0.033 -0.021 0.011  77.082 0.009  6.709 0.005 RC       0.9994 0.0125 2.085 0.065 0.057  9.461 0.029 0.013 2.805 0.005 0.008 3.471E-03 0.027 0.008 3.047  0.018  -0.029 0.378 0.077
 1872469 2M19292379+3718156 4657.1  74.9  0.145 0.026  0.03  0.012  56.645 0.009  5.704 0.004 RGB      1.0348 0.0007 1.244 0.04  0.04   8.672 0.015 0.015 2.657 0.005 0.007 2.690E-03 0.008 0.007 3.751  0.06   -0.059 0.47  0.077
 1872517 2M19292584+3718503 4556.6  74.6 -0.284 0.031  0.169 0.017  25.595 0.009  3.271 0.007 RGB      1.043  0.0003 0.995 0.047 0.042 11.601 0.019 0.016 2.307 0.005 0.007 8.987E-04 0.015 0.008 3.96   0.075  -0.072 0.354 0.079
 1873510 2M19301911+3720339 4999.6 102.5 -0.643 0.046  0.197 0.022  30.15  0.01   3.828 0.011 RC       1.     0.0235 1.18  0.113 0.079 11.371 0.054 0.024 2.398 0.006 0.01  1.131E-03 0.052 0.008 3.506  0.13   -0.123 0.443 0.094
 1995358 2M19042363+3729046 4868.1  79.  -0.295 0.038  0.049 0.015  24.016 0.04   3.271 0.023 RC       1.0121 0.0048 1.023 0.153 0.082 11.946 0.061 0.025 2.294 0.017 0.01  8.462E-04 0.046 0.008 3.71   0.175  -0.16  0.317 0.081
 1995859 2M19050006+3728563 4932.1  81.3 -0.107 0.035  0.017 0.013  45.892 0.009  4.771 0.009 RC       0.9957 0.0285 1.719 0.125 0.072 11.165 0.061 0.02  2.578 0.005 0.009 1.742E-03 0.06  0.008 3.178  0.129  -0.105 0.266 0.077
 1996078 2M19051489+3729091 4803.9  78.1 -0.056 0.032  0.011 0.013  82.874 0.009  7.768 0.004 RGB      1.0296 0.0003 1.211 0.04  0.037  7.018 0.015 0.014 2.829 0.005 0.007 4.939E-03 0.008 0.007 3.724  0.062  -0.058 0.242 0.077
 1996415 2M19053929+3725383 4733.4  77.7  0.172 0.027  0.05  0.011 125.427 0.009 10.76  0.005 RGB      1.0261 0.0004 1.131 0.042 0.034  5.534 0.016 0.012 3.005 0.005 0.007 9.412E-03 0.01  0.007 3.898  0.068  -0.063 0.311 0.079
 2010137 2M19212984+3725229 4063.   47.4  0.418 0.016  0.003 0.009   6.369 0.068  1.068 0.02  RGB      1.0457 0.0005 1.126 0.219 0.044 25.46  0.079 0.017 1.678 0.029 0.007 9.630E-05 0.041 0.008 3.952  0.276  -0.298 0.458 0.103 SeisUnc
 2011145 2M19223206+3729277 4007.   46.8 -0.273 0.023  0.101 0.015   2.088 0.011  0.475 0.008 RGB      1.0325 0.0016 1.045 0.05  0.045 42.976 0.021 0.017 1.191 0.006 0.007 1.857E-05 0.016 0.008 3.863  0.078  -0.074 0.279 0.093
 2011582 2M19225839+3728552 4644.6  84.6  0.41  0.022  0.034 0.01   39.173 0.02   3.878 0.012 RC       1.0076 0.0022 2.134 0.082 0.075 13.666 0.033 0.022 2.496 0.01  0.01  1.179E-03 0.024 0.008 3.084  0.081  -0.05  0.379 0.089
 2011870 2M19231654+3728560 3976.9  57.6  0.295 0.016  0.033 0.012   4.38  0.048  0.77  0.014 RGB      1.0363 0.0006 1.358 0.155 0.044 33.899 0.056 0.017 1.511 0.02  0.007 4.916E-05 0.028 0.008 3.651  0.252  -0.221 0.519 0.114
 2011891 2M19231796+3728151 4680.5  69.   0.308 0.025  0.004 0.01  112.944 0.009  9.716 0.004 RGB      1.0275 0.0003 1.214 0.038 0.035  6.059 0.014 0.012 2.957 0.005 0.007 7.695E-03 0.008 0.007 3.819  0.062  -0.058 0.23  0.072
 2013502 2M19244585+3729385 4896.6  79.2  0.042 0.032 -0.017 0.012  60.888 0.009  5.722 0.007 RC       0.9986 0.0153 1.897 0.076 0.065 10.201 0.035 0.017 2.699 0.005 0.009 2.521E-03 0.033 0.008 3.127  0.046  -0.058 0.519 0.076
 2014684 2M19255509+3726471 4303.9  55.9 -0.26  0.027  0.049 0.015   5.977 0.035  1.099 0.015 RGB      1.0482 0.0007 0.895 0.124 0.044 23.094 0.047 0.017 1.663 0.015 0.007 1.025E-04 0.03  0.008 4.112  0.135  -0.175 0.569 0.086
 2015820 2M19265758+3728035 4827.   76.   0.037 0.031 -0.009 0.012  45.097 0.011  4.614 0.006 RC       0.9968 0.026  1.797 0.115 0.072 11.578 0.055 0.02  2.565 0.006 0.009 1.633E-03 0.054 0.008 3.179  0.112  -0.099 0.161 0.075
 2016676 2M19274515+3727100 4984.2  83.5  0.057 0.033  0.    0.012  80.312 0.009  6.921 0.007 RC       0.9977 0.0089 2.096 0.059 0.056  9.293 0.026 0.013 2.823 0.005 0.008 3.681E-03 0.023 0.008 3.035  0.011  -0.021 0.41  0.078
 2016706 2M19274667+3727398 4795.9  74.7 -0.032 0.032 -0.009 0.012  38.487 0.009  4.323 0.011 RC       0.9998 0.0072 1.419 0.062 0.075 11.152 0.028 0.022 2.495 0.005 0.01  1.442E-03 0.026 0.008 3.412  0.071  -0.075 0.311 0.074
